timestamp,temp_c,cap_pf,cap_sd_pf,permittivity,optical_ratio,index,tpm_equiv,validation,ch410,ch435,ch460,ch485,ch510,ch535,ch560,ch585,ch610,ch645,ch680,ch705,ch730,ch760,ch810,ch860,ch900,ch940
2026-08-08T05:56:13.000Z,28.6,8.4667,0.0029,8.0235,1.0790,0.0000,8.00,optical,94.973,55.894,190.793,38.412,128.92,80.875,44.933,53.646,57.848,9.775,8.87,3.986,111.782,43.748,10.212,7.613,24.754,52.291
2026-08-08T05:56:26.000Z,28.8,7.7345,0.0091,5.2291,0.0298,1.3500,30.95,optical,4.999,5.782,27.391,8.933,12.742,9.387,4.032,4.78,4.267,0.889,1.267,1.993,62.229,93.745,12.569,12.689,38.412,162.556
2026-08-08T06:02:59.000Z,28.4,8.6706,0.0248,8.8014,0.7206,1.3500,30.95,optical,25.826,19.274,42.503,18.759,42.723,31.772,32.836,35.056,39.83,4.888,3.801,2.99,57.62,24.999,4.713,3.384,11.95,25.009
2026-08-08T06:03:11.000Z,28.6,7.7258,0.0011,5.1956,0.8486,0.9020,23.33,optical,4.999,9.637,18.89,16.08,17.239,17.33,20.162,26.026,19.441,3.11,1.267,1.993,41.486,10.416,3.928,2.538,3.414,3.41
2026-08-08T06:03:24.000Z,28.7,9.8336,1.8175,13.2408,63.5815,0.0000,8.00,reading unstable,461.534,289.105,1019.134,234.047,514.93,41.16,110.605,259.729,80.134,4.888,14.572,2.99,553.148,48.956,17.282,5.076,50.362,4.547
2026-08-08T06:03:53.000Z,28.8,8.2992,0.0691,7.3845,0.5934,1.3500,30.95,optical,13.33,7.709,14.168,3.573,4.497,5.777,5.761,7.436,15.647,3.11,1.901,1.993,18.438,13.541,3.928,3.384,5.122,13.641
2026-08-08T06:04:47.000Z,29.2,7.7937,0.0025,5.4557,0.8478,0.9056,23.40,optical,1.666,6.746,19.835,5.36,11.243,14.442,13.826,11.154,7.587,2.666,1.267,1.993,20.743,9.374,3.142,2.538,3.414,4.547
2026-08-08T06:04:59.000Z,29.3,7.7852,0.0011,5.4234,2.2607,0.0000,8.00,optical,1.666,7.709,20.779,9.826,14.991,19.497,16.706,15.934,9.957,3.555,1.267,1.993,26.505,10.416,3.142,3.384,3.414,3.41
2026-08-08T06:05:16.000Z,29.5,7.751,0.0011,5.2931,0.4237,1.3500,30.95,optical,1.666,4.818,11.334,6.253,6.746,7.943,9.217,10.092,7.112,1.777,1.267,1.993,17.286,5.208,2.357,1.692,1.707,3.41
2026-08-08T06:05:28.000Z,29.6,7.8188,0.016,5.5521,4.2379,0.0000,8.00,optical,1.666,9.637,25.502,12.506,14.991,18.775,16.706,17.528,10.432,2.666,1.267,1.993,28.81,8.333,3.142,2.538,3.414,2.274
2026-08-08T06:45:27.000Z,27.9,8.7524,0.0117,9.1129,0.5973,1.3500,30.95,optical,34.99,34.693,137.9,18.759,86.196,69.321,42.629,44.616,37.459,7.553,5.702,2.99,80.667,44.789,8.641,6.767,20.486,53.427
2026-08-08T06:46:11.000Z,28.1,8.814,0.0031,9.3483,0.5298,1.3500,30.95,optical,33.324,26.019,105.786,8.933,57.714,49.103,24.771,28.682,28.924,6.22,5.069,2.99,56.467,38.54,8.641,6.767,17.925,48.88
2026-08-08T08:10:21.000Z,27.8,8.9668,0.0353,9.9311,0.8139,1.0774,26.32,optical,28.325,24.092,75.561,22.333,56.965,41.882,31.108,39.836,34.14,6.665,4.435,2.99,81.82,27.082,6.284,5.076,15.365,30.692
2026-08-08T08:10:33.000Z,27.9,8.0009,0.133,6.2446,2.5458,0.0000,8.00,optical,4.165,10.601,27.391,12.506,20.237,19.497,20.162,24.433,18.018,3.555,1.267,1.993,41.486,10.416,3.142,2.538,5.122,3.41
2026-08-08T08:11:10.000Z,28.2,8.7067,0.0067,8.9389,0.8924,0.6907,19.74,optical,23.327,19.274,66.116,6.253,21.737,17.33,6.913,6.374,10.432,3.11,3.168,1.993,17.286,14.583,3.928,3.384,8.536,22.735
2026-08-08T08:17:13.000Z,28.6,7.8167,0.0166,5.5426,2.3312,0.0000,8.00,optical,14.163,14.455,36.836,17.866,40.475,28.162,24.771,30.275,27.027,3.555,2.534,1.993,47.248,17.707,3.928,3.384,8.536,6.821
2026-08-09T09:33:33.000Z,27.2,7.0795,0.2616,2.7267,1.0596,0.0000,8.00,reading unstable,7.498,44.329,111.453,20.546,41.974,51.269,8.065,5.311,4.742,1.333,1.901,1.993,10.372,6.25,1.571,1.692,3.414,9.094
2026-08-09T09:33:46.000Z,27.2,29.1901,9.3465,87.1183,1.5745,0.0000,8.00,reading unstable,6.665,14.455,70.839,10.72,42.723,31.772,8.641,5.311,5.216,1.333,1.901,1.993,9.219,10.416,2.357,2.538,3.414,7.957
2026-08-09T10:03:27.000Z,25.9,7.0469,0.0935,2.6003,0.6782,1.3500,30.95,optical,3.332,10.601,23.613,9.826,17.989,23.107,8.641,5.311,4.267,1.333,1.267,1.993,6.914,10.416,1.571,1.692,2.561,5.684
2026-08-09T10:03:41.000Z,26,7.0532,0.057,2.6245,0.1256,1.3500,30.95,optical,4.165,6.746,17.001,7.146,8.994,8.665,2.88,4.249,5.216,1.333,1.267,1.993,18.438,19.791,2.357,3.384,5.975,32.966
